2021-04-22 00:11:02.669 [A] DEBUG BigRoom - sleep1个小时
2021-04-22 00:11:03.680 [N] DEBUG BigRoom - sleep2个小时
2021-04-22 00:14:24.827 [小南] DEBUG BigRoom - sleep1个小时
2021-04-22 00:14:24.827 [小女] DEBUG BigRoom - sleep2个小时
2021-04-22 00:15:02.622 [小南] DEBUG BigRoom - sleep1个小时
2021-04-22 00:15:02.622 [小女] DEBUG BigRoom - sleep2个小时
2021-04-22 08:25:32.163 [t1] DEBUG Callable - running
2021-04-22 08:25:32.166 [main] DEBUG Callable - KHighness
2021-04-22 11:10:13.132 [t1] DEBUG DeadLock - lock A
2021-04-22 11:10:13.132 [t2] DEBUG DeadLock - lock B
2021-04-22 11:15:18.223 [t2] DEBUG DeadLock - lock B
2021-04-22 11:15:18.223 [t1] DEBUG DeadLock - lock A
2021-04-22 14:15:17.026 [亚里士多德] DEBUG Philosopher - eating...
2021-04-22 14:15:17.026 [苏格拉底] DEBUG Philosopher - eating...
2021-04-22 14:15:51.670 [亚里士多德] DEBUG Philosopher - eating...
2021-04-22 14:15:51.670 [苏格拉底] DEBUG Philosopher - eating...
2021-04-22 14:15:52.680 [苏格拉底] DEBUG Philosopher - eating...
2021-04-22 14:15:57.623 [亚里士多德] DEBUG Philosopher - eating...
2021-04-22 14:15:57.623 [苏格拉底] DEBUG Philosopher - eating...
2021-04-22 14:15:58.632 [亚里士多德] DEBUG Philosopher - eating...
2021-04-22 14:15:58.632 [苏格拉底] DEBUG Philosopher - eating...
2021-04-22 14:15:59.643 [柏拉图] DEBUG Philosopher - eating...
2021-04-22 14:16:00.647 [柏拉图] DEBUG Philosopher - eating...
2021-04-22 14:55:40.707 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:55:40.707 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:55:42.723 [t1] DEBUG LiveLock - count: 11
2021-04-22 14:55:42.723 [t2] DEBUG LiveLock - count: 11
2021-04-22 14:55:44.727 [t2] DEBUG LiveLock - count: 12
2021-04-22 14:55:44.727 [t1] DEBUG LiveLock - count: 12
2021-04-22 14:55:46.739 [t2] DEBUG LiveLock - count: 11
2021-04-22 14:55:46.739 [t1] DEBUG LiveLock - count: 11
2021-04-22 14:55:48.748 [t2] DEBUG LiveLock - count: 12
2021-04-22 14:55:48.748 [t1] DEBUG LiveLock - count: 12
2021-04-22 14:55:50.749 [t2] DEBUG LiveLock - count: 13
2021-04-22 14:55:50.749 [t1] DEBUG LiveLock - count: 13
2021-04-22 14:55:52.750 [t2] DEBUG LiveLock - count: 14
2021-04-22 14:55:52.750 [t1] DEBUG LiveLock - count: 14
2021-04-22 14:55:54.756 [t2] DEBUG LiveLock - count: 14
2021-04-22 14:55:54.756 [t1] DEBUG LiveLock - count: 13
2021-04-22 14:55:56.761 [t1] DEBUG LiveLock - count: 13
2021-04-22 14:55:56.761 [t2] DEBUG LiveLock - count: 14
2021-04-22 14:55:58.772 [t1] DEBUG LiveLock - count: 14
2021-04-22 14:55:58.772 [t2] DEBUG LiveLock - count: 14
2021-04-22 14:56:00.786 [t2] DEBUG LiveLock - count: 14
2021-04-22 14:56:00.786 [t1] DEBUG LiveLock - count: 13
2021-04-22 14:56:02.792 [t2] DEBUG LiveLock - count: 13
2021-04-22 14:56:02.792 [t1] DEBUG LiveLock - count: 13
